"#","name","cooking_time","complexity","price","created_at"
"228","KIPBURGER","420","2","1.6","2022-12-23T00:18:12.000000Z"
"229","MULKYBURGER","300","2","1.6","2022-12-23T00:18:12.000000Z"
"230","SCHNITSEL","300","3","1.6","2022-12-23T00:18:12.000000Z"
"231","HALVE HAAN","600","3","1.6","2022-12-23T00:18:12.000000Z"
"232","VIETNAMESE LOEMP","500","2","1.6","2022-12-23T00:18:12.000000Z"
"233","LOEMPIA","500","1","1.6","2022-12-23T00:18:12.000000Z"
"234","VEG.LOEMPIA","400","3","1.6","2022-12-23T00:18:12.000000Z"
"235","GLUTENVRIJ FRIK","300","3","1.6","2022-12-23T00:18:12.000000Z"
"236","KIPRUNNER","300","3","1.6","2022-12-23T00:18:12.000000Z"
"237","CRIZLY","300","1","1.6","2022-12-23T00:18:12.000000Z"
"238","LOEMPIDEL","400","2","1.6","2022-12-23T00:18:12.000000Z"
"239","VLAMPIJP","300","1","1.6","2022-12-23T00:18:12.000000Z"
"240","DIEK.5 STUK.","500","2","1.6","2022-12-23T00:18:12.000000Z"
"241","RAGOESTI","300","3","1.6","2022-12-23T00:18:12.000000Z"
"242","TWIJFELAAR","300","1","1.6","2022-12-23T00:18:12.000000Z"
"243","CHICKEN STRIPS","300","2","1.6","2022-12-23T00:18:12.000000Z"
"244","LIHANBOUTJE","300","3","1.6","2022-12-23T00:18:12.000000Z"
"245","PORTIE SATE","600","3","1.6","2022-12-23T00:18:12.000000Z"
"246","SLAATJE","","4","1.6","2022-12-23T00:18:12.000000Z"
"247","KROKIDEL XXL","300","1","1.6","2022-12-23T00:18:12.000000Z"
"248","XXL FRIK. SPEC","300","2","1.6","2022-12-23T00:18:12.000000Z"
"249","XXL FRIKANDEL","300","1","1.6","2022-12-23T00:18:12.000000Z"
"250","UIRINGEN","240","2","1.6","2022-12-23T00:18:12.000000Z"
"251","BONITA","300","3","1.6","2022-12-23T00:18:12.000000Z"
"252","RAUWKOST","","3","1.6","2022-12-23T00:18:12.000000Z"
